Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
4/19/2020,458,34,159,7,66,60,66,75,74,50,60,0,207,249,2,142,21,173,56,21,45,0,0,0,3,7,7,5,12,0,10,24,0,13,2,13,4,2,0,2,13,8,16,36,29,29,26,0,70,88,1,56,7,61,23,9,3
10/8/2020,611,3,34,82,181,115,68,83,55,19,8,0,310,299,2,232,14,85,149,21,110,0,0,0,2,0,0,0,1,0,2,1,0,0,1,1,1,0,0,0,4,2,2,5,9,4,8,0,17,17,0,5,1,17,5,3,3
3/9/2020,5,0,3,3,0,0,0,0,0,1,1,0,3,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,1,1,0
10/2/2020,413,3,28,46,105,98,58,41,24,30,11,0,205,207,1,164,11,43,107,23,65,0,0,0,0,1,0,2,0,0,1,2,0,1,0,1,1,0,0,0,4,4,3,4,4,4,5,0,16,11,1,7,2,8,9,1,1
6/14/2020,92,12,27,6,22,18,20,14,6,2,4,0,44,48,0,29,1,24,5,5,28,0,0,0,1,1,3,2,5,0,6,6,0,5,0,3,4,0,0,2,4,1,6,3,5,3,3,0,11,16,0,12,1,9,1,2,2
11/7/2020,1571,13,120,181,396,337,265,187,112,54,39,0,826,745,0,577,34,187,331,68,374,0,0,1,1,1,1,3,6,0,9,4,0,2,0,4,7,0,0,2,7,9,17,23,27,9,25,1,62,58,0,38,7,42,23,7,3
10/27/2020,1629,4,95,202,455,341,252,179,116,53,31,0,841,783,5,624,37,233,333,94,308,0,0,0,0,0,3,1,0,0,2,2,0,3,0,0,1,0,0,4,4,11,12,23,21,10,10,0,53,42,0,25,3,38,22,3,4
4/24/2021,409,10,45,75,83,96,61,49,28,12,5,0,229,179,1,108,15,130,72,22,62,0,0,0,0,2,4,2,2,0,4,6,0,4,0,2,4,0,0,2,3,7,13,6,7,2,5,0,27,18,0,8,0,26,7,1,3
10/30/2020,1874,4,97,233,476,384,289,241,151,65,35,0,954,916,4,683,33,261,348,91,458,0,0,0,0,2,1,1,0,0,2,2,0,0,0,3,1,0,0,3,8,15,8,9,13,18,23,0,51,46,0,26,2,36,22,5,6
3/13/2021,252,2,18,28,63,60,43,31,20,4,3,0,128,123,1,62,3,47,83,26,31,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,1,2,5,4,5,0,0,11,7,0,2,0,10,4,1,1
7/22/2020,365,4,36,39,123,82,56,28,22,13,2,0,188,171,6,131,9,80,96,10,39,0,0,0,0,1,0,1,2,0,1,3,0,1,0,1,2,0,0,3,3,7,6,1,6,8,2,0,20,16,0,13,1,15,5,1,1
3/29/2020,282,20,130,4,29,48,54,50,50,30,17,0,128,154,0,55,11,145,38,10,23,0,1,0,1,4,4,6,4,0,3,17,0,2,2,14,2,0,0,0,5,12,25,23,27,24,14,0,57,73,0,21,3,92,11,2,1
4/18/2021,309,7,53,40,70,77,45,43,18,9,7,0,171,138,0,54,12,121,60,14,48,0,0,0,0,4,0,1,2,0,5,2,0,3,1,3,0,0,0,2,5,4,8,16,9,5,4,0,28,25,0,7,0,36,7,0,3
8/24/2020,556,3,27,91,135,109,97,66,31,18,7,2,290,259,7,291,10,61,117,19,58,0,0,0,0,0,0,2,1,0,0,3,0,1,0,1,1,0,0,3,3,5,2,4,4,2,4,0,9,18,0,8,1,10,6,2,0
9/1/2020,331,3,20,34,97,70,39,45,32,8,6,0,178,153,0,131,4,58,80,6,52,0,0,0,0,0,2,1,0,0,2,1,0,2,0,0,1,0,0,0,2,3,7,2,2,2,2,0,11,9,0,7,0,9,2,1,1
5/7/2020,938,49,144,58,179,194,171,147,116,40,33,0,481,447,10,438,11,127,91,45,226,0,0,2,2,8,14,10,13,0,20,29,0,16,3,19,9,1,1,3,4,18,20,20,36,25,18,0,58,86,0,66,3,41,22,8,4
4/30/2021,544,7,50,125,113,101,65,61,49,20,10,0,308,236,0,104,14,214,72,13,127,0,0,0,1,0,2,1,3,0,3,4,0,2,0,2,3,0,0,1,5,4,5,9,8,11,7,0,26,24,0,5,1,30,12,1,1
3/14/2021,183,4,19,24,55,36,32,17,14,5,0,0,87,96,0,36,8,32,57,19,31,0,0,0,0,0,2,1,1,0,2,2,0,1,0,2,1,0,0,1,1,3,1,4,5,3,1,0,9,10,0,1,1,11,4,1,1
5/28/2020,522,22,71,41,111,89,98,69,62,27,25,0,260,255,7,214,7,114,59,14,114,0,0,0,1,5,1,4,11,0,11,11,0,10,0,7,5,0,0,4,2,10,7,10,15,8,15,0,34,37,0,29,2,24,12,1,3
5/4/2020,1120,48,126,57,219,222,243,177,109,53,40,0,554,548,18,521,24,176,98,46,255,0,1,0,0,4,10,15,18,0,23,25,0,17,2,20,9,0,0,1,10,8,13,15,27,31,21,0,53,72,1,40,7,48,17,9,5
9/12/2020,136,0,11,11,31,34,25,18,11,5,1,0,68,66,2,36,8,20,37,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,1,0,0,0,5,6,0,5,1,4,1,0,0
11/6/2020,2776,10,133,342,801,571,410,327,214,69,42,0,1472,1298,6,986,73,367,567,140,643,0,0,1,1,2,3,0,3,0,4,6,0,4,0,5,1,0,0,6,10,9,17,34,16,24,17,0,66,67,0,32,3,55,24,9,10
4/25/2020,632,38,118,32,121,119,132,106,67,31,24,0,306,323,3,266,14,107,77,23,145,0,0,2,1,6,6,11,12,0,14,24,0,12,2,19,5,0,0,0,6,12,12,26,28,19,15,0,52,66,0,46,3,40,18,11,0
5/29/2020,460,20,54,33,115,70,85,75,42,18,22,0,249,206,5,217,9,99,35,17,83,0,0,0,1,3,5,6,5,0,11,9,0,7,0,10,2,1,0,3,1,5,7,12,9,9,8,0,32,22,0,13,1,26,9,3,2
1/31/2021,160,16,44,12,33,31,31,22,17,8,6,0,72,88,0,36,11,32,40,11,30,0,0,0,0,3,6,4,3,0,7,9,0,11,0,4,1,0,0,0,7,4,9,8,7,3,6,0,21,22,1,11,0,19,6,4,4
5/4/2021,461,5,53,79,123,78,84,39,31,14,13,0,242,218,1,103,20,187,56,14,81,0,0,0,0,0,1,3,1,0,1,4,0,0,0,4,1,0,0,2,2,5,8,15,9,6,6,0,26,27,0,5,1,33,10,1,3
10/3/2020,225,3,38,26,56,46,35,27,20,9,6,0,121,104,0,71,6,33,56,8,51,0,0,0,0,1,1,0,1,0,1,2,0,2,0,1,0,0,0,0,2,7,2,5,12,4,6,0,20,18,0,15,0,14,7,0,2
10/20/2020,1195,5,59,159,308,231,198,141,88,48,22,0,605,589,1,475,35,137,277,41,230,0,0,0,0,2,1,1,1,0,2,3,0,1,0,2,2,0,0,1,5,5,4,8,14,14,8,0,31,28,0,17,1,18,19,2,2
5/30/2021,51,7,10,7,14,11,6,6,7,0,0,0,23,28,0,17,0,17,7,2,8,0,0,0,0,1,1,3,2,0,3,4,0,1,0,5,1,0,0,1,0,0,3,1,4,0,1,0,7,3,0,2,0,6,2,0,0
4/16/2020,680,30,156,8,119,115,119,121,95,62,41,0,319,352,9,236,15,199,93,28,109,0,0,0,2,3,6,8,11,0,14,16,0,5,3,16,6,0,0,0,6,11,15,34,33,33,24,0,55,99,2,45,2,73,23,11,2
12/30/2020,1448,23,77,192,371,275,198,200,138,52,22,0,761,674,13,479,31,226,271,77,364,0,0,0,4,6,4,5,4,0,5,18,0,13,1,5,3,1,0,3,2,6,7,13,17,18,11,0,38,39,0,24,2,25,15,5,6
5/31/2021,44,2,16,5,8,10,7,4,5,1,4,0,23,21,0,10,1,15,7,3,8,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,2,0,0,2,1,0,2,4,3,2,2,0,11,5,0,1,0,10,2,0,3
5/3/2020,468,45,137,10,97,78,76,81,68,31,27,0,211,248,9,199,8,116,41,22,82,0,0,0,2,4,13,13,13,0,20,25,0,20,0,16,9,0,0,2,10,17,17,27,22,21,21,0,61,76,0,58,1,42,19,13,4
6/2/2021,100,6,17,19,26,16,6,19,8,5,1,0,59,41,0,15,5,33,19,6,22,0,0,0,0,2,3,1,0,0,5,1,0,2,0,3,1,0,0,0,3,4,2,4,1,2,1,0,12,5,0,2,1,10,3,1,0
3/21/2020,125,2,66,0,18,25,20,28,16,13,5,0,53,72,0,25,6,61,26,3,4,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0,4,6,8,19,11,14,4,0,23,43,0,13,4,35,12,1,1
5/2/2020,718,49,167,25,142,126,154,142,74,40,15,0,343,371,4,356,9,109,54,22,168,0,0,0,1,8,14,11,15,0,20,29,0,11,3,24,10,1,0,2,9,8,29,35,32,33,19,0,67,100,0,59,3,63,27,11,4
2/26/2021,357,6,18,67,97,57,58,29,32,11,6,0,178,175,4,97,8,74,87,17,74,0,0,0,0,1,1,0,4,0,0,6,0,3,0,1,2,0,0,2,1,1,2,2,4,1,5,0,10,8,0,4,0,10,3,1,0
4/13/2020,693,33,154,10,99,115,127,160,91,53,38,0,352,337,4,238,25,216,95,31,88,0,0,1,5,3,8,7,9,0,15,18,0,11,2,17,3,0,0,1,5,11,11,41,29,28,28,0,66,88,0,36,6,71,27,12,2
3/16/2020,78,1,17,1,14,21,18,12,7,4,1,0,37,41,0,8,6,26,30,1,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,7,3,2,2,1,0,4,13,0,2,0,11,4,0,0
9/4/2020,397,2,25,61,103,83,53,38,33,16,10,0,206,189,2,188,11,68,84,9,37,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,3,1,4,3,3,5,6,0,18,7,0,10,1,10,3,0,1
3/27/2020,404,8,154,4,43,61,86,103,49,36,22,0,212,192,0,68,9,209,69,12,37,0,0,0,1,1,3,3,0,0,3,5,0,2,0,4,2,0,0,2,4,9,27,40,34,20,18,0,77,77,0,17,6,112,13,4,2
7/12/2020,97,4,17,7,33,15,19,11,3,7,2,0,52,45,0,27,4,25,19,4,18,0,0,0,0,0,2,0,2,0,2,2,0,0,0,1,3,0,0,1,3,0,2,2,2,6,1,0,7,10,0,5,2,8,1,0,1
8/10/2020,376,1,30,41,108,68,63,49,24,18,5,0,186,189,1,185,9,58,70,14,40,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,5,1,3,5,5,6,3,0,15,15,0,4,2,8,12,1,3
4/20/2021,558,5,53,87,169,119,75,65,17,14,12,0,321,236,1,113,18,187,95,24,121,0,0,0,0,1,2,1,1,0,1,4,0,0,2,2,1,0,0,2,3,13,7,10,8,6,4,0,29,24,0,15,1,27,7,1,2
4/30/2020,1269,40,168,57,230,221,227,187,150,95,102,0,619,626,24,545,23,212,145,49,295,0,0,3,0,4,8,11,14,0,17,23,0,13,1,18,8,0,0,1,11,15,13,33,40,26,29,0,75,92,1,59,8,55,31,11,4
3/3/2020,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,3,0,0,0
5/14/2020,775,45,131,49,166,151,132,109,95,43,30,0,396,367,12,328,13,163,73,33,165,1,0,4,1,5,5,7,22,0,22,23,0,13,4,21,6,1,0,2,8,9,15,18,39,26,14,0,56,75,0,47,3,49,18,10,4
10/25/2020,526,10,55,66,139,125,63,66,39,18,10,0,281,244,1,125,13,84,175,30,99,0,0,0,2,0,4,3,1,0,4,6,0,3,0,5,2,0,0,2,6,6,8,10,12,5,6,0,30,25,0,13,0,24,11,5,2
1/1/2021,266,20,82,28,60,49,37,34,19,21,18,0,132,132,2,58,9,49,69,13,68,0,0,1,1,0,6,4,8,0,8,12,0,6,1,6,6,1,0,0,4,12,7,20,9,12,18,0,41,41,0,23,3,32,14,5,5
12/3/2020,2072,30,126,235,521,403,319,308,158,80,47,1,1096,970,6,711,57,333,345,95,531,0,0,0,1,3,6,10,10,0,12,18,0,7,3,13,7,0,0,1,4,12,16,24,28,19,22,0,54,72,0,40,4,47,24,4,7
4/13/2021,671,4,52,80,197,141,110,88,30,13,12,0,364,301,6,150,16,210,133,31,131,0,0,0,0,1,0,1,2,0,0,4,0,0,0,3,1,0,0,0,7,8,5,14,7,6,5,0,28,24,0,5,3,36,6,2,0
12/2/2020,2050,35,115,215,513,409,304,300,183,76,50,0,1070,973,7,708,67,292,362,79,542,0,1,0,1,6,5,7,15,0,19,16,0,14,3,12,4,2,0,1,8,9,18,10,20,22,27,0,59,56,0,27,1,44,32,5,6
10/31/2020,1069,10,87,136,273,223,170,130,86,39,12,0,544,524,1,334,33,140,234,61,267,0,0,1,0,2,1,5,1,0,2,8,0,4,1,2,3,0,0,2,7,5,16,14,22,14,7,0,42,45,0,23,3,36,16,4,5
6/16/2021,30,1,,6,4,11,7,0,1,1,0,0,17,13,0,8,2,9,4,1,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,
10/5/2020,554,3,29,54,158,117,95,66,38,22,4,0,266,287,1,204,13,97,112,20,108,0,0,0,0,0,0,1,2,0,2,1,0,0,0,1,2,0,0,0,4,3,4,3,7,7,1,0,13,16,0,9,0,14,5,1,0
9/19/2020,170,2,22,11,49,41,23,24,16,2,4,0,89,79,2,64,3,19,42,12,30,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,0,0,2,1,1,1,4,6,3,4,0,13,8,1,9,0,8,3,2,0
8/30/2020,100,4,22,12,24,16,18,14,8,4,4,0,49,51,0,26,1,22,32,5,14,0,0,0,0,0,0,3,1,0,3,1,0,1,0,3,0,0,0,2,2,1,2,4,4,2,5,0,9,13,0,6,0,9,5,0,2
7/18/2020,132,4,18,13,37,25,21,19,9,5,3,0,61,71,0,41,1,42,20,5,23,0,0,0,0,1,1,1,1,0,2,2,0,2,0,0,2,0,0,0,1,1,2,2,3,7,2,0,9,9,0,2,0,11,2,2,1
5/25/2020,252,23,79,7,34,35,41,43,49,26,17,0,123,125,4,75,6,69,44,3,55,0,0,1,0,4,4,7,7,0,11,12,0,5,0,10,7,1,0,2,10,4,7,12,18,11,15,0,37,42,0,24,2,35,9,1,8
3/31/2020,490,16,163,5,57,104,97,92,69,39,27,0,261,229,0,107,16,220,84,15,48,0,0,0,4,1,0,5,6,0,6,10,0,2,0,14,0,0,0,2,7,16,25,33,31,28,21,0,73,90,0,30,3,101,18,7,4
3/7/2020,3,0,3,0,0,0,0,1,0,2,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,1,1,1,0
7/1/2020,266,13,25,17,98,51,32,27,25,6,10,0,154,111,1,92,2,66,60,3,43,0,0,0,3,2,2,2,4,0,5,8,0,6,0,4,3,0,0,1,1,0,6,5,4,3,5,0,12,13,0,8,0,11,4,0,2
5/30/2020,238,21,53,22,54,41,43,41,23,9,5,0,131,105,2,99,4,43,21,13,58,0,0,0,2,1,7,5,6,0,11,10,0,11,0,5,4,1,0,2,6,3,8,10,10,7,7,0,19,34,0,15,2,20,9,1,6
5/10/2021,397,6,44,104,65,71,67,49,29,7,5,0,215,181,1,77,16,172,58,13,61,1,0,0,1,0,0,2,2,0,4,2,0,0,0,5,1,0,0,0,3,5,9,11,8,5,3,0,24,20,0,5,0,29,7,2,1
3/30/2020,439,12,160,6,54,78,81,82,59,43,36,0,217,222,0,85,12,210,78,17,37,0,0,1,1,2,2,5,1,0,4,8,0,3,1,6,2,0,0,0,9,9,17,33,35,33,24,0,69,91,0,27,2,101,20,9,1
4/15/2021,623,8,61,142,156,130,81,51,36,17,10,0,321,302,0,150,13,194,123,29,114,0,0,1,1,1,2,2,1,0,0,8,0,2,0,5,1,0,0,2,4,6,6,10,17,10,6,0,38,23,0,9,1,32,11,5,3
8/12/2020,434,2,32,51,117,94,73,53,29,10,7,0,226,205,3,176,1,81,93,20,63,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,2,2,5,6,9,4,3,0,13,19,0,14,0,11,5,1,1
10/28/2020,1742,8,100,214,463,403,289,192,110,50,21,0,906,828,8,661,35,236,325,83,402,0,0,0,1,1,4,2,0,0,1,7,0,3,0,3,2,0,0,4,10,9,13,17,15,16,16,0,56,44,0,23,2,40,30,3,2
9/26/2020,233,4,23,26,66,50,32,40,11,7,1,0,105,128,0,88,5,14,73,13,40,0,0,1,0,1,1,0,1,0,1,3,0,2,0,1,1,0,0,0,3,6,1,6,2,4,1,0,16,7,0,6,0,7,8,1,1
7/21/2020,291,1,36,25,83,57,55,31,23,8,9,0,144,147,0,91,3,89,53,18,37,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,6,6,6,2,7,4,5,0,17,19,0,7,1,17,8,1,2
4/7/2020,555,24,197,2,83,106,94,84,80,54,52,0,293,259,3,165,15,201,90,27,57,0,0,0,1,5,4,9,5,0,11,13,0,6,0,16,0,2,0,0,6,14,23,34,48,33,39,0,90,107,0,41,8,102,36,10,0
3/18/2021,416,3,37,55,162,77,52,40,22,3,5,0,201,215,0,74,13,84,144,19,82,0,0,0,0,1,0,0,2,0,2,1,0,1,1,1,0,0,0,4,3,4,5,6,12,3,0,0,17,20,0,4,2,18,8,4,1
6/11/2021,41,2,12,6,12,7,6,2,4,3,1,0,19,22,0,15,2,10,7,2,5,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0,3,1,1,6,1,0,0,5,7,0,2,0,8,1,0,1
9/18/2020,358,4,30,41,102,74,45,45,34,8,9,0,164,193,1,147,14,45,80,19,53,0,0,0,0,0,0,1,3,0,2,2,0,1,0,2,1,0,0,0,4,0,1,3,5,8,9,0,16,13,1,4,0,12,12,0,2
1/21/2021,815,9,75,97,189,159,122,118,76,36,18,0,414,397,4,283,24,158,153,47,150,0,0,1,1,0,2,2,3,0,5,4,0,2,0,5,2,0,0,3,5,7,5,12,17,21,5,0,38,37,0,20,2,33,12,3,5
8/18/2020,412,1,26,50,130,79,60,46,22,21,4,0,211,200,1,189,8,61,94,9,51,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,4,7,3,0,3,5,2,0,13,13,0,9,0,9,4,2,2
4/22/2021,577,3,69,106,149,128,79,57,34,15,9,0,305,270,2,145,25,175,89,22,121,0,0,0,1,2,0,0,0,0,1,2,0,1,1,1,0,0,0,1,5,14,14,14,7,9,5,0,32,37,0,18,2,36,7,1,5
3/16/2021,444,3,32,85,128,97,51,40,23,18,2,0,248,196,0,100,10,98,117,41,78,0,0,0,0,0,1,1,1,0,2,1,0,0,1,2,0,0,0,0,4,1,4,11,6,4,2,0,16,16,0,3,0,25,3,1,0
9/7/2020,72,1,21,4,19,17,5,10,11,3,3,0,39,33,0,21,0,23,15,3,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,6,2,2,6,1,1,0,12,9,0,9,0,6,3,0,3
2/13/2021,220,8,31,23,61,40,36,29,19,7,5,0,118,102,0,70,13,39,55,10,33,0,0,0,1,0,1,3,3,0,3,5,0,2,1,1,4,0,0,1,3,1,7,1,8,4,6,0,19,12,0,4,1,11,9,4,2
3/11/2020,13,0,9,0,4,1,3,3,2,0,0,0,4,9,0,2,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,4,5,0,2,0,5,2,0,0
9/20/2020,109,6,18,14,31,29,13,9,5,7,1,0,57,52,0,29,9,13,46,2,10,0,0,0,0,0,3,1,2,0,3,3,0,3,0,1,2,0,0,0,3,2,1,5,3,3,1,0,6,12,0,5,0,8,4,1,0
9/30/2020,464,2,31,48,141,95,53,65,35,17,10,0,236,226,2,155,7,79,114,27,82,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,1,3,3,2,4,5,7,6,0,16,15,0,10,0,8,11,2,0
11/13/2020,2690,20,127,332,647,537,404,344,242,124,60,0,1448,1232,10,929,62,402,500,124,673,0,0,0,0,4,2,6,8,0,8,12,0,7,0,5,8,0,0,1,10,14,7,20,33,27,15,0,50,77,0,44,2,44,26,3,8
1/8/2021,1207,18,58,159,328,216,167,152,109,48,28,0,613,591,3,390,35,215,258,66,243,0,0,1,2,1,4,6,4,0,10,8,0,4,3,7,3,0,1,2,2,3,9,15,13,6,8,0,28,30,0,13,2,29,10,1,3
5/15/2020,970,48,109,80,186,201,166,136,101,64,36,0,537,424,9,449,10,156,85,35,235,0,0,2,1,7,14,12,12,0,15,33,0,18,0,13,15,2,0,0,14,10,17,13,17,19,19,0,60,49,0,37,2,44,20,1,5
3/24/2021,675,6,29,63,242,167,79,72,33,12,7,0,329,340,6,139,13,122,216,43,142,0,1,0,1,0,0,3,1,0,3,3,0,2,0,3,1,0,0,1,5,6,3,8,3,2,1,0,17,12,0,6,2,10,3,5,3
3/1/2020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0
9/16/2020,366,4,33,47,120,78,49,34,25,10,3,0,203,163,0,169,6,54,90,4,43,0,0,0,0,0,2,1,1,0,3,1,0,1,0,1,2,0,0,1,4,2,3,0,13,6,4,0,23,10,0,11,0,9,9,1,3
7/26/2020,97,6,17,7,24,25,11,16,8,4,2,0,49,48,0,28,3,19,27,4,16,0,0,0,0,1,1,1,3,0,3,3,0,1,0,3,2,0,0,0,1,2,1,5,5,1,2,0,9,8,0,4,0,8,3,1,1
7/17/2020,326,3,26,35,103,66,48,35,21,13,5,0,168,155,3,127,6,78,54,16,45,0,0,0,0,2,0,0,1,0,1,2,0,2,0,1,0,0,0,0,5,2,8,3,2,3,3,0,11,15,0,4,0,14,6,0,2
12/24/2020,621,21,53,70,128,129,82,85,66,32,29,0,304,312,5,140,19,102,176,37,147,0,0,0,0,0,7,5,9,0,8,13,0,6,2,9,4,0,0,2,2,3,8,9,9,9,11,0,26,27,0,12,2,18,15,3,3
6/28/2020,110,5,27,8,36,22,20,10,9,3,2,0,64,46,0,33,1,22,23,7,24,0,0,0,1,0,2,0,2,0,4,1,0,2,0,2,1,0,0,0,5,0,4,5,4,4,5,0,17,10,0,9,0,12,5,0,1
